Row Labels,Category,Product,Segment
Abbas,Mix,Abbas MA-01,All Season
Abbas,Mix,Abbas MA-02,All Season
Abbas,Mix,Abbas MA-03,All Season
Abbas,Mix,Abbas MA-04,All Season
Abbas,Mix,Abbas MA-05,All Season
Abbas,Mix,Abbas MA-06,All Season
Abbas,Mix,Abbas MA-07,All Season
Abbas,Mix,Abbas MA-08,All Season
Abbas,Mix,Abbas MA-09,All Season
Abbas,Mix,Abbas MA-10,All Season
Abbas,Mix,Abbas MA-11,All Season
Abbas,Mix,Abbas MA-12,All Season
Abbas,Mix,Abbas MA-13,All Season
Abbas,Mix,Abbas MA-14,All Season
Abbas,Mix,Abbas MA-15,All Season
Abbas,Mix,Abbas MA-16,All Season
Abbas,Mix,Abbas MA-17,All Season
Abbas,Mix,Abbas MA-18,All Season
Abbas,Mix,Abbas MA-19,All Season
Abbas,Mix,Abbas MA-20,All Season
Abbas,Mix,Abbas MA-21,All Season
Abbas,Mix,Abbas MA-22,All Season
Abbas,Mix,Abbas MA-23,All Season
Abbas,Mix,Abbas MA-24,All Season
Abbas,Mix,Abbas MA-25,All Season
Abbas,Mix,Abbas MA-26,All Season
Abbas,Mix,Abbas MA-27,All Season
Abbas,Mix,Abbas MA-28,All Season
Abbas,Mix,Abbas MA-29,All Season
Abbas,Mix,Abbas MA-30,All Season
Abbas,Mix,Abbas MA-31,All Season
Abbas,Mix,Abbas MA-32,All Season
Abbas,Mix,Abbas MA-33,All Season
Abbas,Mix,Abbas MA-34,All Season
Abbas,Mix,Abbas MA-35,All Season
Abbas,Mix,Abbas MA-36,All Season
Abbas,Mix,Abbas MA-37,All Season
Abbas,Mix,Abbas MA-38,All Season
Abbas,Mix,Abbas MA-39,All Season
Abbas,Mix,Abbas MA-40,All Season
Abbas,Mix,Abbas MA-41,All Season
Abbas,Mix,Abbas MA-42,All Season
Abbas,Mix,Abbas MA-43,All Season
Abbas,Mix,Abbas MA-44,All Season
Abbas,Mix,Abbas MA-45,All Season
Abbas,Rural,Abbas RP-01,Productivity
Abbas,Rural,Abbas RP-02,Productivity
Abbas,Rural,Abbas RP-03,Productivity
Abbas,Rural,Abbas RP-04,Productivity
Abbas,Rural,Abbas RP-05,Productivity
Abbas,Rural,Abbas RP-06,Productivity
Abbas,Rural,Abbas RP-07,Productivity
Abbas,Rural,Abbas RP-08,Productivity
Abbas,Rural,Abbas RP-09,Productivity
Abbas,Rural,Abbas RP-10,Productivity
Abbas,Rural,Abbas RP-11,Productivity
Abbas,Rural,Abbas RP-12,Productivity
Abbas,Rural,Abbas RP-13,Productivity
Abbas,Rural,Abbas RP-14,Productivity
Abbas,Rural,Abbas RP-15,Productivity
Abbas,Rural,Abbas RP-16,Productivity
Abbas,Rural,Abbas RP-17,Productivity
Abbas,Rural,Abbas RP-18,Productivity
Abbas,Rural,Abbas RP-19,Productivity
Abbas,Rural,Abbas RP-20,Productivity
Abbas,Rural,Abbas RP-21,Productivity
Abbas,Rural,Abbas RP-22,Productivity
Abbas,Rural,Abbas RS-01,Select
Abbas,Rural,Abbas RS-02,Select
Abbas,Rural,Abbas RS-03,Select
Abbas,Rural,Abbas RS-04,Select
Abbas,Rural,Abbas RS-05,Select
Abbas,Rural,Abbas RS-06,Select
Abbas,Urban,Abbas UC-01,Convenience
Abbas,Urban,Abbas UC-02,Convenience
Abbas,Urban,Abbas UC-03,Convenience
Abbas,Urban,Abbas UC-04,Convenience
Abbas,Urban,Abbas UC-05,Convenience
Abbas,Urban,Abbas UC-06,Convenience
Abbas,Urban,Abbas UC-07,Convenience
Abbas,Urban,Abbas UC-08,Convenience
Abbas,Urban,Abbas UE-01,Extreme
Abbas,Urban,Abbas UE-02,Extreme
Abbas,Urban,Abbas UE-03,Extreme
Abbas,Urban,Abbas UE-04,Extreme
Abbas,Urban,Abbas UE-05,Extreme
Abbas,Urban,Abbas UE-06,Extreme
Abbas,Urban,Abbas UE-07,Extreme
Abbas,Urban,Abbas UE-08,Extreme
Abbas,Urban,Abbas UE-09,Extreme
Abbas,Urban,Abbas UE-10,Extreme
Abbas,Urban,Abbas UE-11,Extreme
Abbas,Urban,Abbas UE-12,Extreme
Abbas,Urban,Abbas UE-13,Extreme
Abbas,Urban,Abbas UE-14,Extreme
Abbas,Urban,Abbas UE-15,Extreme
Abbas,Urban,Abbas UE-16,Extreme
Abbas,Urban,Abbas UM-01,Moderation
Abbas,Urban,Abbas UM-02,Moderation
Abbas,Urban,Abbas UM-03,Moderation
Abbas,Urban,Abbas UM-04,Moderation
Abbas,Urban,Abbas UM-05,Moderation
Abbas,Urban,Abbas UM-06,Moderation
Abbas,Urban,Abbas UM-07,Moderation
Abbas,Urban,Abbas UM-08,Moderation
Abbas,Urban,Abbas UM-09,Moderation
