Row Labels,Category,Product,Segment
Abbas,Mix,Abbas MA-01-0,All Season
Abbas,Mix,Abbas MA-02-0,All Season
Abbas,Mix,Abbas MA-03-0,All Season
Abbas,Mix,Abbas MA-04-0,All Season
Abbas,Mix,Abbas MA-05-0,All Season
Abbas,Mix,Abbas MA-06-0,All Season
Abbas,Mix,Abbas MA-07-0,All Season
Abbas,Mix,Abbas MA-08-0,All Season
Abbas,Mix,Abbas MA-09-0,All Season
Abbas,Mix,Abbas MA-10-0,All Season
Abbas,Mix,Abbas MA-11-0,All Season
Abbas,Mix,Abbas MA-12-0,All Season
Abbas,Mix,Abbas MA-13-0,All Season
Abbas,Mix,Abbas MA-14-0,All Season
Abbas,Mix,Abbas MA-15-0,All Season
Abbas,Mix,Abbas MA-16-0,All Season
Abbas,Mix,Abbas MA-17-0,All Season
Abbas,Mix,Abbas MA-18-0,All Season
Abbas,Mix,Abbas MA-19-0,All Season
Abbas,Mix,Abbas MA-20-0,All Season
Abbas,Mix,Abbas MA-21-0,All Season
Abbas,Mix,Abbas MA-22-0,All Season
Abbas,Mix,Abbas MA-23-0,All Season
Abbas,Mix,Abbas MA-24-0,All Season
Abbas,Mix,Abbas MA-25-0,All Season
Abbas,Mix,Abbas MA-26-0,All Season
Abbas,Mix,Abbas MA-27-0,All Season
Abbas,Mix,Abbas MA-28-0,All Season
Abbas,Mix,Abbas MA-29-0,All Season
Abbas,Mix,Abbas MA-30-0,All Season
Abbas,Mix,Abbas MA-31-0,All Season
Abbas,Mix,Abbas MA-32-0,All Season
Abbas,Mix,Abbas MA-33-0,All Season
Abbas,Mix,Abbas MA-34-0,All Season
Abbas,Mix,Abbas MA-35-0,All Season
Abbas,Mix,Abbas MA-36-0,All Season
Abbas,Mix,Abbas MA-37-0,All Season
Abbas,Mix,Abbas MA-38-0,All Season
Abbas,Mix,Abbas MA-39-0,All Season
Abbas,Mix,Abbas MA-40-0,All Season
Abbas,Mix,Abbas MA-41-0,All Season
Abbas,Mix,Abbas MA-42-0,All Season
Abbas,Mix,Abbas MA-43-0,All Season
Abbas,Mix,Abbas MA-44-0,All Season
Abbas,Mix,Abbas MA-45-0,All Season
Abbas,Rural,Abbas RP-01-0,Productivity
Abbas,Rural,Abbas RP-02-0,Productivity
Abbas,Rural,Abbas RP-03-0,Productivity
Abbas,Rural,Abbas RP-04-0,Productivity
Abbas,Rural,Abbas RP-05-0,Productivity
Abbas,Rural,Abbas RP-06-0,Productivity
Abbas,Rural,Abbas RP-07-0,Productivity
Abbas,Rural,Abbas RP-08-0,Productivity
Abbas,Rural,Abbas RP-09-0,Productivity
Abbas,Rural,Abbas RP-10-0,Productivity
Abbas,Rural,Abbas RP-11-0,Productivity
Abbas,Rural,Abbas RP-12-0,Productivity
Abbas,Rural,Abbas RP-13-0,Productivity
Abbas,Rural,Abbas RP-14-0,Productivity
Abbas,Rural,Abbas RP-15-0,Productivity
Abbas,Rural,Abbas RP-16-0,Productivity
Abbas,Rural,Abbas RP-17-0,Productivity
Abbas,Rural,Abbas RP-18-0,Productivity
Abbas,Rural,Abbas RP-19-0,Productivity
Abbas,Rural,Abbas RP-20-0,Productivity
Abbas,Rural,Abbas RP-21-0,Productivity
Abbas,Rural,Abbas RP-22-0,Productivity
Abbas,Rural,Abbas RS-01-0,Select
Abbas,Rural,Abbas RS-02-0,Select
Abbas,Rural,Abbas RS-03-0,Select
Abbas,Rural,Abbas RS-04-0,Select
Abbas,Rural,Abbas RS-05-0,Select
Abbas,Rural,Abbas RS-06-0,Select
Abbas,Urban,Abbas UC-01-0,Convenience
Abbas,Urban,Abbas UC-02-0,Convenience
Abbas,Urban,Abbas UC-03-0,Convenience
Abbas,Urban,Abbas UC-04-0,Convenience
Abbas,Urban,Abbas UC-05-0,Convenience
Abbas,Urban,Abbas UC-06-0,Convenience
Abbas,Urban,Abbas UC-07-0,Convenience
Abbas,Urban,Abbas UC-08-0,Convenience
Abbas,Urban,Abbas UE-01-0,Extreme
Abbas,Urban,Abbas UE-02-0,Extreme
Abbas,Urban,Abbas UE-03-0,Extreme
Abbas,Urban,Abbas UE-04-0,Extreme
Abbas,Urban,Abbas UE-05-0,Extreme
Abbas,Urban,Abbas UE-06-0,Extreme
Abbas,Urban,Abbas UE-07-0,Extreme
Abbas,Urban,Abbas UE-08-0,Extreme
Abbas,Urban,Abbas UE-09-0,Extreme
Abbas,Urban,Abbas UE-10-0,Extreme
Abbas,Urban,Abbas UE-11-0,Extreme
Abbas,Urban,Abbas UE-12-0,Extreme
Abbas,Urban,Abbas UE-13-0,Extreme
Abbas,Urban,Abbas UE-14-0,Extreme
Abbas,Urban,Abbas UE-15-0,Extreme
Abbas,Urban,Abbas UE-16-0,Extreme
Abbas,Urban,Abbas UM-01-0,Moderation
Abbas,Urban,Abbas UM-02-0,Moderation
Abbas,Urban,Abbas UM-03-0,Moderation
Abbas,Urban,Abbas UM-04-0,Moderation
Abbas,Urban,Abbas UM-05-0,Moderation
Abbas,Urban,Abbas UM-06-0,Moderation
Abbas,Urban,Abbas UM-07-0,Moderation
Abbas,Urban,Abbas UM-08-0,Moderation
Abbas,Urban,Abbas UM-09-0,Moderation
Abbas,Urban,Abbas UM-10-0,Moderation
Abbas,Urban,Abbas UM-11-0,Moderation
Abbas,Urban,Abbas UM-12-0,Moderation
Abbas,Urban,Abbas UM-13-0,Moderation
Abbas,Urban,Abbas UM-14-0,Moderation
Abbas,Urban,Abbas UM-15-0,Moderation
Abbas,Urban,Abbas UM-16-0,Moderation
Abbas,Urban,Abbas UM-17-0,Moderation
Abbas,Urban,Abbas UM-18-0,Moderation
Abbas,Urban,Abbas UM-19-0,Moderation
Abbas,Urban,Abbas UM-20-0,Moderation
Abbas,Urban,Abbas UM-21-0,Moderation
Abbas,Urban,Abbas UM-22-0,Moderation
Abbas,Urban,Abbas UM-23-0,Moderation
Abbas,Urban,Abbas UM-24-0,Moderation
Abbas,Urban,Abbas UM-25-0,Moderation
Abbas,Urban,Abbas UM-26-0,Moderation
Abbas,Urban,Abbas UM-27-0,Moderation
Abbas,Urban,Abbas UM-28-0,Moderation
Abbas,Urban,Abbas UM-29-0,Moderation
Abbas,Urban,Abbas UM-30-0,Moderation
Abbas,Urban,Abbas UM-31-0,Moderation
Abbas,Urban,Abbas UM-32-0,Moderation
Abbas,Urban,Abbas UM-33-0,Moderation
Abbas,Urban,Abbas UM-34-0,Moderation
Abbas,Urban,Abbas UM-35-0,Moderation
Abbas,Urban,Abbas UM-36-0,Moderation
Abbas,Urban,Abbas UM-37-0,Moderation
Abbas,Urban,Abbas UM-38-0,Moderation
Abbas,Urban,Abbas UM-39-0,Moderation
Abbas,Urban,Abbas UM-40-0,Moderation
Abbas,Urban,Abbas UM-41-0,Moderation
Abbas,Urban,Abbas UM-42-0,Moderation
Abbas,Urban,Abbas UM-43-0,Moderation
Abbas,Urban,Abbas UM-44-0,Moderation
Abbas,Urban,Abbas UM-45-0,Moderation
Abbas,Urban,Abbas UM-46-0,Moderation
Abbas,Urban,Abbas UM-47-0,Moderation
Abbas,Urban,Abbas UM-48-0,Moderation
Abbas,Urban,Abbas UM-49-0,Moderation
Abbas,Urban,Abbas UM-50-0,Moderation
Abbas,Urban,Abbas UM-51-0,Moderation
Abbas,Urban,Abbas UM-52-0,Moderation
Abbas,Urban,Abbas UM-53-0,Moderation
Abbas,Urban,Abbas UM-54-0,Moderation
Abbas,Urban,Abbas UM-55-0,Moderation
Abbas,Urban,Abbas UM-56-0,Moderation
Abbas,Urban,Abbas UR-01-0,Regular
Abbas,Urban,Abbas UR-02-0,Regular
Abbas,Urban,Abbas UR-03-0,Regular
Abbas,Urban,Abbas UR-04-0,Regular
Abbas,Urban,Abbas UR-05-0,Regular
Abbas,Urban,Abbas UR-06-0,Regular
Abbas,Urban,Abbas UR-07-0,Regular
Abbas,Urban,Abbas UR-08-0,Regular
Abbas,Urban,Abbas UR-09-0,Regular
Abbas,Urban,Abbas UR-10-0,Regular
Abbas,Urban,Abbas UR-11-0,Regular
Abbas,Urban,Abbas UR-12-0,Regular
Abbas,Urban,Abbas UR-13-0,Regular
Abbas,Urban,Abbas UR-14-0,Regular
Abbas,Urban,Abbas UR-15-0,Regular
Abbas,Urban,Abbas UR-16-0,Regular
Abbas,Urban,Abbas UR-17-0,Regular
Abbas,Urban,Abbas UR-18-0,Regular
Abbas,Urban,Abbas UR-19-0,Regular
Abbas,Urban,Abbas UR-20-0,Regular
Abbas,Urban,Abbas UR-21-0,Regular
Abbas,Urban,Abbas UR-22-0,Regular
Abbas,Urban,Abbas UR-23-0,Regular
Abbas,Urban,Abbas UR-24-0,Regular
Abbas,Urban,Abbas UR-25-0,Regular
Abbas,Urban,Abbas UR-26-0,Regular
Abbas,Urban,Abbas UR-27-0,Regular
Abbas,Urban,Abbas UR-28-0,Regular
Abbas,Urban,Abbas UR-29-0,Regular
Abbas,Urban,Abbas UR-30-0,Regular
Abbas,Urban,Abbas UR-31-0,Regular
Abbas,Urban,Abbas UR-32-0,Regular
Abbas,Urban,Abbas UR-33-0,Regular
Abbas,Urban,Abbas UR-34-0,Regular
Abbas,Urban,Abbas UR-35-0,Regular
Abbas,Urban,Abbas UR-36-0,Regular
Abbas,Urban,Abbas UR-37-0,Regular
Abbas,Urban,Abbas UR-38-0,Regular
Abbas,Urban,Abbas UR-39-0,Regular
Abbas,Urban,Abbas UR-40-0,Regular
Abbas,Urban,Abbas UR-41-0,Regular
Abbas,Urban,Abbas UR-42-0,Regular
Abbas,Urban,Abbas UR-43-0,Regular
Abbas,Youth,Abbas YY-01-0,Youth
Abbas,Youth,Abbas YY-02-0,Youth
Aliqui,Mix,Aliqui MA-01-0,All Season
Aliqui,Mix,Aliqui MA-02-0,All Season
Aliqui,Mix,Aliqui MA-03-0,All Season
Aliqui,Mix,Aliqui MA-04-0,All Season
Aliqui,Mix,Aliqui MA-05-0,All Season
Aliqui,Mix,Aliqui MA-06-0,All Season
Aliqui,Mix,Aliqui MA-07-0,All Season
Aliqui,Mix,Aliqui MA-08-0,All Season
Aliqui,Mix,Aliqui MA-09-0,All Season
Aliqui,Mix,Aliqui MA-10-0,All Season
Aliqui,Mix,Aliqui MA-11-0,All Season
Aliqui,Mix,Aliqui MA-12-0,All Season
Aliqui,Mix,Aliqui MA-13-0,All Season
Aliqui,Mix,Aliqui MA-14-0,All Season
Aliqui,Mix,Aliqui MA-15-0,All Season
Aliqui,Mix,Aliqui MA-16-0,All Season
Aliqui,Mix,Aliqui MA-17-0,All Season
Aliqui,Rural,Aliqui RP-01-0,Productivity
Aliqui,Rural,Aliqui RP-02-0,Productivity
Aliqui,Rural,Aliqui RP-03-0,Productivity
Aliqui,Rural,Aliqui RP-04-0,Productivity
Aliqui,Rural,Aliqui RP-05-0,Productivity
Aliqui,Rural,Aliqui RP-06-0,Productivity
Aliqui,Rural,Aliqui RP-07-0,Productivity
Aliqui,Rural,Aliqui RP-08-0,Productivity
Aliqui,Rural,Aliqui RP-09-0,Productivity
Aliqui,Rural,Aliqui RP-10-0,Productivity
Aliqui,Rural,Aliqui RP-11-0,Productivity
Aliqui,Rural,Aliqui RP-12-0,Productivity
Aliqui,Rural,Aliqui RP-13-0,Productivity
Aliqui,Rural,Aliqui RP-14-0,Productivity
Aliqui,Rural,Aliqui RP-15-0,Productivity
Aliqui,Rural,Aliqui RP-16-0,Productivity
Aliqui,Rural,Aliqui RP-17-0,Productivity
Aliqui,Rural,Aliqui RP-18-0,Productivity
Aliqui,Rural,Aliqui RP-19-0,Productivity
Aliqui,Rural,Aliqui RP-20-0,Productivity
Aliqui,Rural,Aliqui RP-21-0,Productivity
Aliqui,Rural,Aliqui RP-22-0,Productivity
Aliqui,Rural,Aliqui RP-23-0,Productivity
Aliqui,Rural,Aliqui RP-24-0,Productivity
Aliqui,Rural,Aliqui RP-25-0,Productivity
Aliqui,Rural,Aliqui RP-26-0,Productivity
Aliqui,Rural,Aliqui RP-27-0,Productivity
Aliqui,Rural,Aliqui RP-28-0,Productivity
Aliqui,Rural,Aliqui RP-29-0,Productivity
Aliqui,Rural,Aliqui RP-30-0,Productivity
Aliqui,Rural,Aliqui RP-31-0,Productivity
Aliqui,Rural,Aliqui RP-32-0,Productivity
Aliqui,Rural,Aliqui RP-33-0,Productivity
Aliqui,Rural,Aliqui RP-34-0,Productivity
Aliqui,Rural,Aliqui RP-35-0,Productivity
Aliqui,Rural,Aliqui RP-36-0,Productivity
Aliqui,Rural,Aliqui RP-37-0,Productivity
Aliqui,Rural,Aliqui RP-38-0,Productivity
Aliqui,Rural,Aliqui RP-39-0,Productivity
Aliqui,Rural,Aliqui RP-40-0,Productivity
Aliqui,Rural,Aliqui RP-41-0,Productivity
Aliqui,Rural,Aliqui RP-42-0,Productivity
Aliqui,Rural,Aliqui RP-43-0,Productivity
Aliqui,Rural,Aliqui RP-44-0,Productivity
Aliqui,Rural,Aliqui RP-45-0,Productivity
Aliqui,Rural,Aliqui RP-46-0,Productivity
Aliqui,Rural,Aliqui RP-47-0,Productivity
Aliqui,Rural,Aliqui RP-48-0,Productivity
Aliqui,Rural,Aliqui RP-49-0,Productivity
Aliqui,Rural,Aliqui RP-50-0,Productivity
Aliqui,Rural,Aliqui RP-51-0,Productivity
Aliqui,Rural,Aliqui RP-52-0,Productivity
Aliqui,Rural,Aliqui RP-53-0,Productivity
Aliqui,Rural,Aliqui RP-54-0,Productivity
Aliqui,Rural,Aliqui RP-55-0,Productivity
Aliqui,Rural,Aliqui RP-56-0,Productivity
